X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
Age,0.3342087169585027,-0.2500042462688645,0.2848823058030601,0.3168094818014753,0.20718187178819852,0.2828572317720263,0.3133337425035749,0.31379815888505114,0.3489328490853358,0.03215777710676964,-0.6388245292346505,-0.5410801736944848,-0.02258647741148292
BMI,0.23313924669669456,-0.4698007511228011,0.1922449445786187,0.21608279341283648,0.3708623027914462,0.18547776209712047,0.20359188252673988,0.23638669586942793,0.26721297500599084,0.21122390514101883,-0.43298467970035776,-0.5578369769698921,0.08800701366567427
Crea,-0.670894617991795,-0.015484747184623865,-0.5725641534230245,-0.6121796520938645,-0.26883968142696185,-0.542889085936733,-0.5577621128953862,-0.6727739241136241,-0.7250806427974671,-0.10504477084618997,0.3618412196259507,0.19384001648628418,-0.0023035930156453084
Height,-0.34873387733022926,0.44183474633344766,-0.2641839504890072,-0.24163464401770335,-0.20155077765978113,-0.254047783770015,-0.22394871371062466,-0.36921658949647906,-0.4352513319668194,-0.1835422349661694,0.5687282278071399,-0.024607479112950484,-0.037934493527051485
Sex,0.03566226610796155,0.3209933734889015,0.1377187809815003,0.11341179219117299,-0.28984326652912007,0.16006715929214582,0.15611678156414005,0.011064623549910786,-0.07383398809432191,-0.1755618739645568,0.24567362622205657,0.08867084811470877,0.17552256794445864
Urea,-0.5070116219737683,-0.34033391486076003,-0.4748025199915659,-0.5382186514384298,-0.04624562185488324,-0.4477014625638347,-0.48785257431440765,-0.49385210111914263,-0.4826931868975203,-0.00927042894358363,-0.10274740171622875,-0.038818999712319474,0.0004727060203702435
Weight,0.015135207286939279,-0.2786337342064044,0.050470589459364654,0.08898378184653354,0.28420693204443853,0.054593536055998364,0.09613095576519565,-0.002095873363782963,-0.033451700030407656,0.08191713780542223,-0.08484208587230382,-0.8181090596113052,0.10455813123742203
