X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
Age,0.3342087169585027,-0.2500042462688645,0.2848823058030601,0.3168094818014753,0.2071818717881985,0.2828572317720263,0.3133337425035749,0.3137981588850511,0.3489328490853358,0.0321577771067696,-0.6388245292346505,-0.5410801736944848,-0.0225864774114829
BMI,0.2331392466966945,-0.4698007511228011,0.1922449445786187,0.2160827934128364,0.3708623027914462,0.1854777620971204,0.2035918825267398,0.2363866958694279,0.2672129750059908,0.2112239051410188,-0.4329846797003577,-0.5578369769698921,0.0880070136656742
Crea,-0.670894617991795,-0.0154847471846238,-0.5725641534230245,-0.6121796520938645,-0.2688396814269618,-0.542889085936733,-0.5577621128953862,-0.6727739241136241,-0.7250806427974671,-0.1050447708461899,0.3618412196259507,0.1938400164862841,-0.0023035930156453
Height,-0.3487338773302292,0.4418347463334476,-0.2641839504890072,-0.2416346440177033,-0.2015507776597811,-0.254047783770015,-0.2239487137106246,-0.369216589496479,-0.4352513319668194,-0.1835422349661694,0.5687282278071399,-0.0246074791129504,-0.0379344935270514
Sex,0.0356622661079615,0.3209933734889015,0.1377187809815003,0.1134117921911729,-0.28984326652912,0.1600671592921458,0.15611678156414,0.0110646235499107,-0.0738339880943219,-0.1755618739645568,0.2456736262220565,0.0886708481147087,0.1755225679444586
Urea,-0.5070116219737683,-0.34033391486076,-0.4748025199915659,-0.5382186514384298,-0.0462456218548832,-0.4477014625638347,-0.4878525743144076,-0.4938521011191426,-0.4826931868975203,-0.0092704289435836,-0.1027474017162287,-0.0388189997123194,0.0004727060203702
Weight,0.0151352072869392,-0.2786337342064044,0.0504705894593646,0.0889837818465335,0.2842069320444385,0.0545935360559983,0.0961309557651956,-0.0020958733637829,-0.0334517000304076,0.0819171378054222,-0.0848420858723038,-0.8181090596113052,0.104558131237422
