X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AvrALP,0.373650421470219,0.8977520770205605,0.36209264377203143,0.33847976454090056,0.04221123909579727,0.38317162251558134,0.37590554677390964,0.27505874310309836,0.24088151809878555,0.10637171968944362,0.3121789370644836,0.37696194157899876,0.05102152478636589
AvrALT,0.8538509102800629,0.8281160578451869,0.776217685414702,0.7283336693798653,0.9589113388440378,0.8240222949836062,0.8172439062123775,0.8417481035206857,0.9636282194899242,0.9405873636982195,0.8695370028536406,0.4448518438891623,0.9967092033975343
AvrAlb,0.6334922052506261,0.36485881795759967,0.857583278942137,0.9759707283664001,0.7460377346353558,0.8884933077930803,0.9683306149041709,0.6603892072946971,0.5593338717370453,0.4144764254862241,0.1887318656875413,0.971522587428347,0.18076751652702955
AvrBili,0.410251632310733,0.34090360277537174,0.4332225054153809,0.4434559267902723,0.025769135485514055,0.4475871353679458,0.46898312420161453,0.29148458797216253,0.21596815869096733,0.04495526975381913,0.4998371009790671,0.21668423786694802,0.037857384302867746
AvrConBili,0.26044221716871935,0.14203976982687838,0.2927965284026314,0.2937852056209188,0.014245100349706361,0.30401628173038947,0.3132374053800163,0.1831673275990281,0.12762473265169821,0.04734440771550529,0.18200699364038833,0.04582377097112178,0.05067888278479166
AvrConTotBili,0.20931526849150386,0.14074112442903575,0.22489325552957573,0.21748872704670036,0.37425068511754234,0.22081953637911428,0.20860336782948968,0.22589719722690121,0.22612606125206028,0.6467762557122537,0.06366911703454126,0.02452895073769568,0.5885007673528245
