X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AvrALP,0.373650421470219,0.8977520770205605,0.3620926437720314,0.3384797645409005,0.0422112390957972,0.3831716225155813,0.3759055467739096,0.2750587431030983,0.2408815180987855,0.1063717196894436,0.3121789370644836,0.3769619415789987,0.0510215247863658
AvrALT,0.8538509102800629,0.8281160578451869,0.776217685414702,0.7283336693798653,0.9589113388440378,0.8240222949836062,0.8172439062123775,0.8417481035206857,0.9636282194899242,0.9405873636982196,0.8695370028536406,0.4448518438891623,0.9967092033975344
AvrAlb,0.6334922052506261,0.3648588179575996,0.857583278942137,0.9759707283664,0.7460377346353558,0.8884933077930803,0.9683306149041708,0.6603892072946971,0.5593338717370453,0.4144764254862241,0.1887318656875413,0.971522587428347,0.1807675165270295
AvrBili,0.410251632310733,0.3409036027753717,0.4332225054153809,0.4434559267902723,0.025769135485514,0.4475871353679458,0.4689831242016145,0.2914845879721625,0.2159681586909673,0.0449552697538191,0.4998371009790671,0.216684237866948,0.0378573843028677
AvrConBili,0.2604422171687193,0.1420397698268783,0.2927965284026314,0.2937852056209188,0.0142451003497063,0.3040162817303894,0.3132374053800163,0.1831673275990281,0.1276247326516982,0.0473444077155052,0.1820069936403883,0.0458237709711217,0.0506788827847916
AvrConTotBili,0.2093152684915038,0.1407411244290357,0.2248932555295757,0.2174887270467003,0.3742506851175423,0.2208195363791142,0.2086033678294896,0.2258971972269012,0.2261260612520602,0.6467762557122537,0.0636691170345412,0.0245289507376956,0.5885007673528245
