X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AvrALP,0.0188200593748064,0.5286229262157816,0.005426115287059,0.2386608008653485,0.723871625172298,0.0078127545092295,0.4684984726993096,0.0248328085168467,0.0284783128360487,0.9788917926381008,0.9320244096910038,0.6668719214541142,0.5628608124825379
AvrALT,0.8374841948703791,0.0903698948202813,0.7821193114000846,0.4627362909169122,0.5086725124990857,0.4757524007558725,0.5171301787217932,0.5865729463908043,0.7051546679794489,0.7640500104917585,0.2678192539438518,0.4977910052041771,0.8103089943425805
AvrAlb,0.6636585544578727,0.6473949925335082,0.3498083444972377,0.0679879071016904,0.1056702962799459,0.4886973134412717,0.0688779237423763,0.3378806178892246,0.2929009574789121,0.5043673849596984,0.9341185790913192,0.4710868554755524,0.502558251014671
AvrBili,0.6172264369324338,0.7142501306240597,0.1943413430171186,0.965150179259812,0.5972596344290926,0.1493719906185185,0.7893058232846926,0.4225739841028123,0.4131911874653554,0.2197736245373689,0.9132372457977652,0.5545755075289027,0.5852625866800856
AvrConBili,0.3955901578796684,0.5886077957631387,0.1178049948581711,0.0327279261546358,0.0391147496224652,0.1832833110778038,0.0492342097060289,0.1617403540203301,0.148595671455477,0.3903992998880677,0.3887034990299376,0.1311964396467998,0.4607176612923765
AvrConTotBili,0.2247001695724442,0.4285270899902218,0.3129677059088616,0.4816903572147551,0.9097709929885652,0.2689372695802272,0.4824480852885143,0.1782180839825985,0.1685258850884369,0.6820100029313978,0.6476866159404169,0.0536222033282684,0.5751549210761594
