X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AvrALP,0.018820059374806408,0.5286229262157816,0.005426115287059058,0.23866080086534855,0.723871625172298,0.007812754509229589,0.4684984726993096,0.024832808516846765,0.02847831283604871,0.9788917926381007,0.9320244096910038,0.6668719214541142,0.5628608124825379
AvrALT,0.8374841948703791,0.09036989482028134,0.7821193114000846,0.46273629091691226,0.5086725124990857,0.47575240075587255,0.5171301787217932,0.5865729463908043,0.7051546679794489,0.7640500104917585,0.2678192539438518,0.49779100520417713,0.8103089943425805
AvrAlb,0.6636585544578727,0.6473949925335082,0.3498083444972377,0.06798790710169043,0.10567029627994594,0.48869731344127176,0.06887792374237638,0.3378806178892246,0.2929009574789121,0.5043673849596984,0.9341185790913193,0.4710868554755524,0.502558251014671
AvrBili,0.6172264369324338,0.7142501306240597,0.19434134301711864,0.9651501792598121,0.5972596344290926,0.14937199061851858,0.7893058232846926,0.4225739841028123,0.41319118746535544,0.21977362453736896,0.9132372457977651,0.5545755075289027,0.5852625866800856
AvrConBili,0.39559015787966845,0.5886077957631387,0.11780499485817117,0.03272792615463589,0.039114749622465216,0.1832833110778038,0.04923420970602892,0.1617403540203301,0.148595671455477,0.39039929988806776,0.38870349902993767,0.13119643964679986,0.46071766129237657
AvrConTotBili,0.22470016957244424,0.4285270899902218,0.31296770590886164,0.48169035721475517,0.9097709929885651,0.26893726958022723,0.4824480852885143,0.17821808398259859,0.1685258850884369,0.6820100029313978,0.6476866159404169,0.05362220332826843,0.5751549210761594
