X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AvrALP,-0.31605503379215144,-0.04684456873145095,-0.3233564660278017,-0.3386463505077612,-0.6492595669679122,-0.31012356247346884,-0.3146434968293303,-0.38269681607207057,-0.40874034928189146,-0.5409659508279625,-0.35633527516520364,0.31398370852245217,-0.6297570023731831
AvrALT,0.06711247668977141,-0.07906797782721132,0.10339888488011775,0.12618017349149235,-0.018790020648078963,0.08097583059011107,0.08413876326865127,0.07272717652076255,0.016631699449629368,-0.02718013299554458,0.05985419588044266,-0.2732962155257423,-0.0015043675656894757
AvrAlb,-0.17259676889331446,0.3215985600924776,-0.06538358624311508,-0.010986135767249243,0.11771466055255608,-0.051107772511649704,0.01448046912717077,-0.15922649165613498,-0.21053359044125614,0.29110863604181614,0.45287781198101895,0.013020452908464264,0.4602186254171222
AvrBili,-0.29363374162161265,0.3370524408524353,-0.280047190025026,-0.2741022645416692,-0.6947294905868743,-0.2717200942271484,-0.2595377599852544,-0.3708107560900752,-0.4290584702387134,-0.6429153171574984,0.24239241453849472,0.4284563603379335,-0.6599207980599685
AvrConBili,-0.3936025794488389,0.49899806712283384,-0.36987714244284786,-0.36917505014913193,-0.7407956829234082,-0.36198234487996805,-0.35560872866171306,-0.45798697035364083,-0.5150686646851885,-0.6375994725281758,0.4590638289331735,0.640961529591694,-0.6304715571633615
AvrConTotBili,-0.43470819319402565,0.5004035940906703,-0.42163365577539014,-0.4277812702921603,-0.3156789051926532,-0.4250013100886576,-0.4353188387323104,-0.420809066311293,-0.42062138024944273,-0.1659705028094899,0.6053445505681431,0.6988932803765808,-0.19540581579420488
